"","State","State.Code","Region","Division","GEOID.x","rentBurdenTotalE","rentBurdenTotalM","rentBurden3035E","rentBurden3035M","rentBurden3540E","rentBurden3540M","rentBurden4050E","rentBurden4050M","rentBurden50PlusE","rentBurden50PlusM","rentBurdenNCE","rentBurdenNCM","giniE","giniM","rentBurdenPerc","GEOID.y","HUEST"
"34","North Carolina","NC","South","South Atlantic","37",1403639,16837,120092,6854,79131,6119,119098,6616,279586,9603,115672,5899,0.47,0.0034,46.42,"37",4747943
"35","North Dakota","ND","Midwest","West North Central","38",125108,4384,7333,1630,6482,1534,9392,2216,21174,2879,8566,1551,0.46,0.0104,38.08,"38",380173
"36","Ohio","OH","Midwest","East North Central","39",1606607,17557,128608,7791,92645,5437,110036,5536,317910,9542,112004,5900,0.47,0.0033,43.44,"39",5232869
"37","Oklahoma","OK","South","West South Central","40",515253,8107,39128,2944,29674,2801,40602,3539,93943,4317,53824,3058,0.47,0.004,44.07,"40",1749464
"38","Oregon","OR","West","Pacific","41",612227,9135,49034,4248,41767,3948,51021,3639,136729,6141,38126,3744,0.45,0.0052,48.52,"41",1808465
"39","Pennsylvania","PA","Northeast","Middle Atlantic","42",1617425,16685,131115,5746,98846,7026,124311,6355,351292,10169,113176,6147,0.47,0.0031,46.9,"42",5732628
"40","Rhode Island","RI","Northeast","New England","44",156028,5612,16283,2651,9855,1861,12765,2587,32642,3474,9604,1747,0.46,0.0096,48.86,"44",470168
"41","South Carolina","SC","South","South Atlantic","45",587423,11958,48608,4101,31102,3196,45946,4966,121187,6856,67897,4696,0.47,0.0056,47.51,"45",2351286
"42","South Dakota","SD","Midwest","West North Central","46",113868,4043,10443,1812,6237,1588,7910,1664,16308,2332,10709,1240,0.44,0.0093,39.65,"46",401862
"43","Tennessee","TN","South","East South Central","47",889017,13816,76289,4692,50609,4283,66089,5269,181291,8774,82375,5491,0.47,0.0045,46.4,"47",3028213
"44","Texas","TX","South","West South Central","48",3805848,26478,334100,11811,255943,9576,322712,12266,792406,18199,254759,10567,0.48,0.0019,48.02,"48",11283353
"45","Utah","UT","West","Mountain","49",300567,7817,24487,2414,18796,2149,26720,3119,55701,4508,15076,2011,0.43,0.0069,44.03,"49",1133521
"46","Vermont","VT","Northeast","New England","50",76515,3648,7924,1365,6635,1416,6597,1352,17582,2091,5384,1056,0.45,0.0114,54.46,"50",339439
"47","Virginia","VA","South","South Atlantic","51",1081134,13919,89062,5676,69173,4948,90315,5504,214783,8940,74397,5187,0.47,0.0035,46.02,"51",3562143
"48","Washington","WA","West","Pacific","53",1082785,13114,98398,5405,77237,5884,93140,5699,221537,7622,53458,4006,0.46,0.0037,47.63,"53",3195004
"49","West Virginia","WV","South","South Atlantic","54",193607,7630,12426,1988,8098,1361,12781,2018,36919,3511,39483,3633,0.46,0.0068,45.56,"54",894956
"50","Wisconsin","WI","Midwest","East North Central","55",782717,11060,59138,3924,45102,3464,59407,4252,149447,5584,43593,3599,0.44,0.0038,42.36,"55",2725296
"51","Wyoming","WY","West","Mountain","56",65546,4070,5850,1388,3035,984,5675,1453,11355,1820,7139,1394,0.43,0.0145,44.37,"56",280291
